cross_street_name,crimename1,crime_count
FENWICK LA,Crime Against Property,33
FENWICK LA,Crime Against Society,8
FERNWOOD RD,Crime Against Property,1
FERRARA DR,Crime Against Property,2
FETLOCK DR,Crime Against Property,1
FIRST AVE,Crime Against Person,2
FIRST AVE,Crime Against Property,1
FIRST ST,Crime Against Person,2
FIRST ST,Crime Against Property,8
FIRST ST,Crime Against Society,6
FIRSTFIELD RD,Crime Against Person,42
FIRSTFIELD RD,Crime Against Property,47
FIRSTFIELD RD,Crime Against Society,30
FLOWER HILL TERR,Crime Against Person,1
FLOWER HILL TERR,Crime Against Property,5
FLOWER HILL TERR,Crime Against Society,1
FLOWER HILL WAY,Crime Against Society,2
FOREMAN BLVD,Crime Against Property,2
FOREST GLEN RD,Crime Against Person,1
FOREST GLEN RD,Crime Against Property,4
FOREST GLEN RD,Crime Against Society,3
FORTUNE TERR,Crime Against Property,19
FORTUNE TERR,Crime Against Society,3
FOUNDERS MILL CT,Crime Against Society,1
FOX ST,Crime Against Property,15
FRAMINGHAM DR,Crime Against Property,3
FRANKLIN AVE,Crime Against Property,1
FRANKLIN ST,Crime Against Property,2
FREDERICK RD,Crime Against Person,7
FREDERICK RD,"Crime Against Person, Property, or Society",1
FREDERICK RD,Crime Against Property,32
FREDERICK RD,Crime Against Society,3
GAIL ST,Crime Against Property,2
GAINSBOROUGH RD,Crime Against Property,4
GATESHEAD MANOR WAY,Crime Against Person,1
GATESHEAD MANOR WAY,Crime Against Property,8
GAYNOR RD,Crime Against Society,1
GEORGIA AVE,Crime Against Person,77
GEORGIA AVE,Crime Against Property,369
GEORGIA AVE,Crime Against Society,56
GERMANTOWN RD,Crime Against Person,34
GERMANTOWN RD,Crime Against Property,93
GERMANTOWN RD,Crime Against Society,41
GILMOURE DR,Crime Against Property,1
GIST AVE,Crime Against Person,1
GIST AVE,Crime Against Property,5
GIST AVE,Crime Against Society,2
GLADSTONE DR,Crime Against Society,3
GLENALLAN AVE,Crime Against Person,7
GLENALLAN AVE,Crime Against Property,48
GLENALLAN AVE,Crime Against Society,7
GLENBROOK RD,Crime Against Property,3
GLENMONT CIR #1,Crime Against Person,8
GLENMONT CIR #1,Crime Against Property,6
GLENMONT CIR #1,Crime Against Society,10
GLENPARK DR,Crime Against Property,1
GLENPARK DR,Crime Against Society,1
GOOD HOPE RD,Crime Against Property,2
GOOD HOPE RD,Crime Against Society,1
GRACEFIELD RD,Crime Against Property,3
GRACEFIELD RD,Crime Against Society,2
GRAND PRE RD,Crime Against Person,3
GRAND PRE RD,Crime Against Property,35
GRAND PRE RD,Crime Against Society,3
GRANDVIEW AVE,Crime Against Property,3
GRANT ST,Crime Against Property,1
GREENBROOK DR,Crime Against Property,2
GREENBROOK DR,Crime Against Society,1
GREENLY ST,Crime Against Property,1
GREENTREE RD,Crime Against Property,1
GREENTREE RD,Crime Against Society,1
GREY CASTLE WAY,Crime Against Property,3
GREYROCK DR,Crime Against Property,1
GROTTO LA,Crime Against Property,1
GROTTO LA,Crime Against Society,3
GROVE ST,Crime Against Person,3
GROVE ST,Crime Against Property,11
GROVE ST,Crime Against Society,3
GRUBB RD,Crime Against Property,1
GUDE AVE,Crime Against Person,1
GUDE AVE,Crime Against Property,5
GUILFORD RUN LA,Crime Against Society,1
GUNNERS BRANCH RD,Crime Against Person,5
GUNNERS BRANCH RD,"Crime Against Person, Property, or Society",1
GUNNERS BRANCH RD,Crime Against Property,25
GUNNERS BRANCH RD,Crime Against Society,8
HALPINE RD,Crime Against Person,5
HALPINE RD,Crime Against Property,13
HALPINE RD,Crime Against Society,1
HALPINE WALK CT,Crime Against Person,1
HARTFORD AVE,Crime Against Person,1
HARTFORD AVE,Crime Against Property,2
HAZELCREST DR,Crime Against Society,1
HENDERSON AVE,Crime Against Person,1
HENDERSON AVE,Crime Against Property,3
HENDERSON AVE,Crime Against Society,1
HENDERSON CORNER RD,Crime Against Person,2
HENDERSON CORNER RD,Crime Against Property,61
HENDERSON CORNER RD,Crime Against Society,2
HEURICH RD,Crime Against Property,10
HEURICH RD,Crime Against Society,1
HIGH CORNER ST,Crime Against Person,1
HIGH POINT DR,Crime Against Property,1
HOLLINGSWORTH DR,Crime Against Property,1
HOLTON LA,Crime Against Person,29
HOLTON LA,Crime Against Property,243
HOLTON LA,Crime Against Society,35
HOMECREST RD,Crime Against Property,15
HOUSTON AVE,Crime Against Property,2
HUBBARD DR,Crime Against Property,3
HUNGERFORD DR,Crime Against Person,5
HUNGERFORD DR,Crime Against Property,12
HUNGERFORD DR,Crime Against Society,7
HUNTINGTON PKWY,Crime Against Property,2
HUNTINGTON PKWY,Crime Against Society,1
HYDRUS RD,Crime Against Person,1
INDEPENDENCE ST,Crime Against Not a Crime,1
INDEPENDENCE ST,Crime Against Person,2
INDEPENDENCE ST,Crime Against Property,5
INDEPENDENCE ST,Crime Against Society,2
INTERNATIONAL DR,Crime Against Property,3
IRON GATE RD,Crime Against Property,1
IVY OAK DR,Crime Against Property,1
JACKSON RD,Crime Against Person,3
JACKSON RD,Crime Against Property,1
JACKSON RD,Crime Against Society,1
JAMES ST,Crime Against Property,1
JESSUP BLAIR DR,Crime Against Person,9
JESSUP BLAIR DR,Crime Against Property,31
JESSUP BLAIR DR,Crime Against Society,17
JONES BRIDGE RD,Crime Against Property,2
JUPITER ST,Crime Against Property,2
KEATING ST,Crime Against Property,2
KEMP MILL RD,Crime Against Person,1
KEMP MILL RD,Crime Against Property,5
KEMP MILL RD,Crime Against Society,1
KEMPER ST,Crime Against Person,1
KENDALL CT,Crime Against Property,2
KENTLAND AVE,Crime Against Person,5
KENTLAND AVE,Crime Against Property,3
KENTLAND AVE,Crime Against Society,2
KING FARM BLVD,Crime Against Property,33
KING FARM BLVD,Crime Against Society,2
KINGLET PL,Crime Against Property,1
KINGLET PL,Crime Against Society,1
KINGS RIDING WAY,Crime Against Person,1
KINGS RIDING WAY,Crime Against Property,1
KINGSVIEW RD,Crime Against Person,2
KINGSVIEW RD,Crime Against Property,8
KINGSVIEW RD,Crime Against Society,11
KINGTREE ST,Crime Against Property,1
KNOWLES AVE,Crime Against Person,7
KNOWLES AVE,Crime Against Property,34
KNOWLES AVE,Crime Against Society,3
LA GRANDE RD,Crime Against Person,5
LA GRANDE RD,Crime Against Property,3
LA GRANDE RD,Crime Against Society,7
LAKEVIEW DR,Crime Against Property,2
LANARK WAY,Crime Against Property,1
LANARK WAY,Crime Against Society,1
LARCH AVE,Crime Against Property,1
LAUDERDALE DR,Crime Against Property,1
LAYHILL RD,Crime Against Person,4
LAYHILL RD,Crime Against Property,25
LAYHILL RD,Crime Against Society,6
LEIGHTON AVE,Crime Against Person,1
LEIGHTON AVE,Crime Against Society,1
LELAND ST,Crime Against Person,3
LELAND ST,Crime Against Property,7
LIBERTY MILL RD,Crime Against Person,1
LIBERTY MILL RD,Crime Against Property,1
LINTHICUM ST,Crime Against Property,4
LITTLETON ST,Crime Against Property,4
LIVINGSTON ST,Crime Against Property,2
LIVINGSTON ST,Crime Against Society,1
LLEWELLYN MANOR WAY,Crime Against Person,2
LOCBURY CIR,Crime Against Person,7
LOCBURY CIR,Crime Against Property,3
LOCBURY CIR,Crime Against Society,1
LOCBURY DR,Crime Against Property,1
LONGDRAFT RD,Crime Against Person,1
LONGDRAFT RD,Crime Against Property,1
LONGDRAFT RD,Crime Against Society,32
LONGMEAD CROSSING DR,Crime Against Property,1
LORAIN AVE,Crime Against Person,10
LORAIN AVE,Crime Against Property,80
LORAIN AVE,Crime Against Society,18
LOST KNIFE RD,Crime Against Person,14
LOST KNIFE RD,"Crime Against Person, Property, or Society",1
LOST KNIFE RD,Crime Against Property,25
LOST KNIFE RD,Crime Against Society,43
MACARTHUR BLVD,Crime Against Property,4
MAIN ST,Crime Against Property,7
MAIN ST,Crime Against Society,1
MANNAKEE ST,Crime Against Property,4
MANNAKEE ST,Crime Against Society,2
MANOR CIR,Crime Against Property,3
MANSFIELD RD,Crime Against Person,3
MANSFIELD RD,Crime Against Property,2
MAPLE AVE,Crime Against Property,1
MARBURY RD,Crime Against Property,1
MARGOT DR,Crime Against Person,1
MARGOT DR,Crime Against Property,2
MARINELLI RD,Crime Against Person,1
MARINELLI RD,Crime Against Property,2
MARKET ST E,Crime Against Property,1
MARTINS LA,Crime Against Property,1
MARTINS LA,Crime Against Society,1
MARYLAND AVE,Crime Against Person,3
MARYLAND AVE,Crime Against Property,6
MASON ST,Crime Against Property,1
MASSACHUSETTS AVE,Crime Against Property,2
MASSANUTEN DR (PROP),Crime Against Person,1
MASSANUTEN DR (PROP),Crime Against Property,2
MATENY RD,Crime Against Property,4
MAY CT,Crime Against Property,1
MAY ST,Crime Against Society,1
MCKNEW RD,Crime Against Person,1
MCKNEW RD,Crime Against Property,16
MCKNEW RD,Crime Against Society,4
MCLANE CT,Crime Against Person,2
MEADOW HALL DR,Crime Against Property,3
MEDICAL PARK DR,Crime Against Person,1
MERRIMAC DR,Crime Against Person,1
MERRIMAC DR,Crime Against Property,5
MERRIMAC DR,Crime Against Society,2
MERWOOD DR,Crime Against Person,6
MERWOOD DR,Crime Against Property,33
MERWOOD DR,Crime Against Society,5
MIDCOUNTY HWY,Crime Against Person,3
MIDCOUNTY HWY,Crime Against Property,7
MIDCOUNTY HWY,Crime Against Society,12
MIDDLEBROOK RD,Crime Against Person,4
MIDDLEBROOK RD,Crime Against Property,15
MIDDLEBROOK RD,Crime Against Society,8
MIDDLETON LA,Crime Against Property,2
MIDDLEVALE LA,Crime Against Property,1
MILFORD AVE,Crime Against Person,1
MILFORD AVE,Crime Against Property,3
MILLER AVE,Crime Against Person,1
MILLER AVE,Crime Against Property,7
